"Team","Quarter1","Quarter2","Quarter3","Quarter4","GameCode","SeasonCode"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",18,25,19,23,115,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",28,21,29,22,116,"E2023"
"MACCABI PLAYTIKA TEL AVIV",29,20,23,18,116,"E2023"
"ZALGIRIS KAUNAS",19,18,22,20,117,"E2023"
"AS MONACO",23,23,11,26,117,"E2023"
"LDLC ASVEL VILLEURBANNE",21,15,24,21,118,"E2023"
"PANATHINAIKOS AKTOR ATHENS",24,21,19,25,118,"E2023"
"REAL MADRID",19,23,21,25,119,"E2023"
"FC BAYERN MUNICH",23,14,20,16,119,"E2023"
"BASKONIA VITORIA-GASTEIZ",15,28,17,21,120,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",24,18,21,28,120,"E2023"
"ZALGIRIS KAUNAS",21,23,20,21,121,"E2023"
"PARTIZAN MOZZART BET BELGRADE",29,29,18,17,121,"E2023"
"MACCABI PLAYTIKA TEL AVIV",29,16,21,29,122,"E2023"
"ANADOLU EFES ISTANBUL",20,28,16,22,122,"E2023"
"FENERBAHCE BEKO ISTANBUL",24,22,22,18,123,"E2023"
"AS MONACO",21,24,12,17,123,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",25,26,20,14,124,"E2023"
"ALBA BERLIN",22,20,11,18,124,"E2023"
"FC BARCELONA",19,21,19,27,125,"E2023"
"EA7 EMPORIO ARMANI MILAN",29,22,17,22,125,"E2023"
"OLYMPIACOS PIRAEUS",15,11,12,18,126,"E2023"
"VALENCIA BASKET",14,21,12,16,126,"E2023"
"ALBA BERLIN",19,19,18,18,127,"E2023"
"FC BARCELONA",22,19,11,18,127,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",20,14,11,13,128,"E2023"
"REAL MADRID",20,25,16,11,128,"E2023"
"MACCABI PLAYTIKA TEL AVIV",22,25,21,21,129,"E2023"
"BASKONIA VITORIA-GASTEIZ",22,27,18,14,129,"E2023"
"VALENCIA BASKET",14,20,10,23,130,"E2023"
"PARTIZAN MOZZART BET BELGRADE",19,14,20,19,130,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",17,11,19,22,131,"E2023"
"OLYMPIACOS PIRAEUS",19,21,15,12,131,"E2023"
"AS MONACO",19,28,20,23,132,"E2023"
"PANATHINAIKOS AKTOR ATHENS",22,17,17,35,132,"E2023"
"EA7 EMPORIO ARMANI MILAN",22,24,21,17,133,"E2023"
"LDLC ASVEL VILLEURBANNE",21,15,12,13,133,"E2023"
"FC BAYERN MUNICH",20,30,21,15,134,"E2023"
"ANADOLU EFES ISTANBUL",17,24,18,12,134,"E2023"
"FENERBAHCE BEKO ISTANBUL",22,15,19,24,135,"E2023"
"ZALGIRIS KAUNAS",26,22,14,16,135,"E2023"
"MACCABI PLAYTIKA TEL AVIV",20,22,23,27,136,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",20,31,28,19,136,"E2023"
"REAL MADRID",26,22,28,15,137,"E2023"
"PARTIZAN MOZZART BET BELGRADE",19,17,15,24,137,"E2023"
"VALENCIA BASKET",26,11,23,19,138,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",21,26,7,17,138,"E2023"
"ALBA BERLIN",26,21,12,23,139,"E2023"
"FENERBAHCE BEKO ISTANBUL",24,27,21,19,139,"E2023"
"ANADOLU EFES ISTANBUL",17,19,24,20,140,"E2023"
"BASKONIA VITORIA-GASTEIZ",17,19,21,30,140,"E2023"
"EA7 EMPORIO ARMANI MILAN",24,17,15,12,141,"E2023"
"PANATHINAIKOS AKTOR ATHENS",22,19,18,17,141,"E2023"
"FC BAYERN MUNICH",14,17,29,20,142,"E2023"
"AS MONACO",17,29,21,24,142,"E2023"
"LDLC ASVEL VILLEURBANNE",18,19,20,16,143,"E2023"
"OLYMPIACOS PIRAEUS",25,24,22,14,143,"E2023"
"ZALGIRIS KAUNAS",22,29,22,7,144,"E2023"
"FC BARCELONA",28,28,14,15,144,"E2023"
"ANADOLU EFES ISTANBUL",29,23,16,16,145,"E2023"
"FENERBAHCE BEKO ISTANBUL",29,18,22,20,145,"E2023"
"EA7 EMPORIO ARMANI MILAN",20,26,14,16,146,"E2023"
"BASKONIA VITORIA-GASTEIZ",12,19,17,19,146,"E2023"
"FC BAYERN MUNICH",16,22,22,25,147,"E2023"
"VALENCIA BASKET",16,23,23,22,147,"E2023"
"LDLC ASVEL VILLEURBANNE",19,20,18,19,148,"E2023"
"REAL MADRID",18,15,18,26,148,"E2023"
"ZALGIRIS KAUNAS",18,15,16,21,149,"E2023"
"MACCABI PLAYTIKA TEL AVIV",16,16,29,17,149,"E2023"
