"Team","Quarter1","Quarter2","Quarter3","Quarter4","GameCode","SeasonCode"
"PANATHINAIKOS AKTOR ATHENS",24,45,64,89,118,"E2023"
"REAL MADRID",19,42,63,88,119,"E2023"
"FC BAYERN MUNICH",23,37,57,73,119,"E2023"
"BASKONIA VITORIA-GASTEIZ",15,43,60,81,120,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",24,42,63,91,120,"E2023"
"ZALGIRIS KAUNAS",21,44,64,85,121,"E2023"
"PARTIZAN MOZZART BET BELGRADE",29,58,76,93,121,"E2023"
"MACCABI PLAYTIKA TEL AVIV",29,45,66,95,122,"E2023"
"ANADOLU EFES ISTANBUL",20,48,64,86,122,"E2023"
"FENERBAHCE BEKO ISTANBUL",24,46,68,86,123,"E2023"
"AS MONACO",21,45,57,74,123,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",25,51,71,85,124,"E2023"
"ALBA BERLIN",22,42,53,71,124,"E2023"
"FC BARCELONA",19,40,59,86,125,"E2023"
"EA7 EMPORIO ARMANI MILAN",29,51,68,90,125,"E2023"
"OLYMPIACOS PIRAEUS",15,26,38,56,126,"E2023"
"VALENCIA BASKET",14,35,47,63,126,"E2023"
"ALBA BERLIN",19,38,56,74,127,"E2023"
"FC BARCELONA",22,41,52,70,127,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",20,34,45,58,128,"E2023"
"REAL MADRID",20,45,61,72,128,"E2023"
"MACCABI PLAYTIKA TEL AVIV",22,47,68,89,129,"E2023"
"BASKONIA VITORIA-GASTEIZ",22,49,67,81,129,"E2023"
"VALENCIA BASKET",14,34,44,67,130,"E2023"
"PARTIZAN MOZZART BET BELGRADE",19,33,53,72,130,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",17,28,47,69,131,"E2023"
"OLYMPIACOS PIRAEUS",19,40,55,67,131,"E2023"
"AS MONACO",19,47,67,90,132,"E2023"
"PANATHINAIKOS AKTOR ATHENS",22,39,56,91,132,"E2023"
"EA7 EMPORIO ARMANI MILAN",22,46,67,84,133,"E2023"
"LDLC ASVEL VILLEURBANNE",21,36,48,61,133,"E2023"
"FC BAYERN MUNICH",20,50,71,86,134,"E2023"
"ANADOLU EFES ISTANBUL",17,41,59,71,134,"E2023"
"FENERBAHCE BEKO ISTANBUL",22,37,56,80,135,"E2023"
"ZALGIRIS KAUNAS",26,48,62,78,135,"E2023"
"MACCABI PLAYTIKA TEL AVIV",20,42,65,92,136,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",20,51,79,98,136,"E2023"
"REAL MADRID",26,48,76,91,137,"E2023"
"PARTIZAN MOZZART BET BELGRADE",19,36,51,75,137,"E2023"
"VALENCIA BASKET",26,37,60,79,138,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",21,47,54,71,138,"E2023"
"ALBA BERLIN",26,47,59,82,139,"E2023"
"FENERBAHCE BEKO ISTANBUL",24,51,72,91,139,"E2023"
"ANADOLU EFES ISTANBUL",17,36,60,80,140,"E2023"
"BASKONIA VITORIA-GASTEIZ",17,36,57,87,140,"E2023"
"EA7 EMPORIO ARMANI MILAN",24,41,56,68,141,"E2023"
"PANATHINAIKOS AKTOR ATHENS",22,41,59,76,141,"E2023"
"FC BAYERN MUNICH",14,31,60,80,142,"E2023"
"AS MONACO",17,46,67,91,142,"E2023"
"LDLC ASVEL VILLEURBANNE",18,37,57,73,143,"E2023"
"OLYMPIACOS PIRAEUS",25,49,71,85,143,"E2023"
"ZALGIRIS KAUNAS",22,51,73,80,144,"E2023"
"FC BARCELONA",28,56,70,85,144,"E2023"
"ANADOLU EFES ISTANBUL",29,52,68,84,145,"E2023"
"FENERBAHCE BEKO ISTANBUL",29,47,69,89,145,"E2023"
"EA7 EMPORIO ARMANI MILAN",20,46,60,76,146,"E2023"
"BASKONIA VITORIA-GASTEIZ",12,31,48,67,146,"E2023"
"FC BAYERN MUNICH",16,38,60,85,147,"E2023"
"VALENCIA BASKET",16,39,62,84,147,"E2023"
"LDLC ASVEL VILLEURBANNE",19,39,57,76,148,"E2023"
"REAL MADRID",18,33,51,77,148,"E2023"
"ZALGIRIS KAUNAS",18,33,49,70,149,"E2023"
"MACCABI PLAYTIKA TEL AVIV",16,32,61,78,149,"E2023"
"PANATHINAIKOS AKTOR ATHENS",20,38,61,82,150,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",17,31,50,65,150,"E2023"
"ALBA BERLIN",25,43,51,67,151,"E2023"
"OLYMPIACOS PIRAEUS",19,40,67,94,151,"E2023"
"AS MONACO",27,47,67,91,152,"E2023"
"FC BARCELONA",15,36,52,71,152,"E2023"
"PARTIZAN MOZZART BET BELGRADE",18,36,55,75,153,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",23,41,60,77,153,"E2023"
"FENERBAHCE BEKO ISTANBUL",26,35,57,76,154,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",18,34,57,85,154,"E2023"
"MACCABI PLAYTIKA TEL AVIV",22,49,64,93,155,"E2023"
"AS MONACO",12,35,54,83,155,"E2023"
"OLYMPIACOS PIRAEUS",18,40,63,79,156,"E2023"
"EA7 EMPORIO ARMANI MILAN",19,35,50,74,156,"E2023"
"PARTIZAN MOZZART BET BELGRADE",23,50,69,90,157,"E2023"
"LDLC ASVEL VILLEURBANNE",17,31,45,77,157,"E2023"
"ZALGIRIS KAUNAS",22,48,61,77,158,"E2023"
"ALBA BERLIN",25,41,52,71,158,"E2023"
"FC BARCELONA",21,45,60,83,159,"E2023"
"REAL MADRID",25,47,62,78,159,"E2023"
"BASKONIA VITORIA-GASTEIZ",13,26,50,75,160,"E2023"
"PANATHINAIKOS AKTOR ATHENS",12,37,53,73,160,"E2023"
