Team,TotalSeconds,total_Points,total_FGMade2,total_FGAtt2,total_FGMade3,total_FGAtt3,total_FTMade,total_FThrowsAtt,total_OReb,total_DReb,total_Reb,total_Assists,total_steals,total_turnovers,total_blocksfavour,total_blocksagainst,total_FoulsCommited,total_FoulsReceived,total_PIR,GameCode,SeasonCode,name_Team
KHI,12000,88,17,26,13,30,15,21,3,21,24,11,6,8,5,2,21,21,92,73,E2020,KHIMKI MOSCOW REGION
IST,12000,71,21,40,6,25,11,13,13,23,36,17,4,11,1,3,18,22,79,74,E2020,ANADOLU EFES ISTANBUL
MUN,12000,74,20,38,6,18,16,17,4,26,30,19,8,10,3,1,22,18,88,74,E2020,FC BAYERN MUNICH
ZAL,12000,78,15,30,10,19,18,20,6,22,28,19,6,14,1,2,24,24,90,75,E2020,ZALGIRIS KAUNAS
CSK,12000,87,19,34,12,27,13,17,11,17,28,15,7,9,2,1,24,24,95,75,E2020,CSKA MOSCOW
BAS,12000,86,19,28,12,28,12,20,11,28,39,28,7,17,4,1,17,20,116,76,E2020,TD SYSTEMS BASKONIA VITORIA-GASTEIZ
ULK,12000,68,21,34,6,28,8,8,6,19,25,18,7,12,1,4,20,16,64,76,E2020,FENERBAHCE BEKO ISTANBUL
PAM,12000,95,20,38,13,24,16,19,5,19,24,28,9,11,0,1,19,23,116,77,E2020,VALENCIA BASKET
PAN,12000,83,21,36,11,21,8,14,9,24,33,19,8,19,1,0,23,19,90,77,E2020,PANATHINAIKOS OPAP ATHENS
BER,12000,76,17,33,8,24,18,20,7,26,33,18,4,18,1,0,20,25,85,78,E2020,ALBA BERLIN
ASV,12000,75,19,37,8,24,13,16,9,26,35,19,10,14,0,1,25,20,82,78,E2020,LDLC ASVEL VILLEURBANNE
MIL,12000,79,19,34,9,25,14,16,7,15,22,13,6,7,5,1,26,22,80,79,E2020,AX ARMANI EXCHANGE MILAN
RED,12000,87,22,37,8,15,19,23,9,23,32,13,1,13,1,5,22,26,94,79,E2020,CRVENA ZVEZDA MTS BELGRADE
BAR,12000,88,23,39,9,21,15,18,9,22,31,13,3,14,3,4,23,22,88,80,E2020,FC BARCELONA
OLY,12000,96,25,41,10,23,16,20,9,21,30,20,7,11,4,3,22,23,111,80,E2020,OLYMPIACOS PIRAEUS
MAD,12000,79,23,39,8,26,9,10,11,27,38,21,10,13,4,2,15,15,102,81,E2020,REAL MADRID
TEL,12000,63,21,38,5,25,6,7,9,24,33,8,8,17,2,4,15,15,55,81,E2020,MACCABI PLAYTIKA TEL AVIV
KHI,12000,77,16,35,13,29,6,12,8,20,28,20,5,14,2,2,22,18,71,82,E2020,KHIMKI MOSCOW REGION
IST,12000,105,23,31,14,27,17,20,3,30,33,25,8,10,2,2,18,20,139,82,E2020,ANADOLU EFES ISTANBUL
MUN,12000,81,28,52,3,8,16,20,9,17,26,17,9,13,1,0,32,18,74,83,E2020,FC BAYERN MUNICH
CSK,12000,89,19,34,6,26,33,41,17,22,39,11,6,13,0,1,18,31,101,83,E2020,CSKA MOSCOW
BAS,12000,93,20,28,13,29,14,18,8,28,36,24,5,14,4,1,18,17,118,84,E2020,TD SYSTEMS BASKONIA VITORIA-GASTEIZ
PAN,12000,72,16,37,8,23,16,22,10,17,27,16,6,14,1,4,17,18,63,84,E2020,PANATHINAIKOS OPAP ATHENS
BER,12000,66,20,40,4,22,14,18,12,20,32,17,7,13,2,1,23,24,69,85,E2020,ALBA BERLIN
DYR,12000,73,17,27,4,21,27,28,6,24,30,18,6,14,1,2,24,23,83,85,E2020,ZENIT ST PETERSBURG
MIL,12000,98,20,37,13,25,19,20,8,22,30,17,9,10,1,3,21,22,113,86,E2020,AX ARMANI EXCHANGE MILAN
ZAL,12000,92,25,42,9,20,15,17,6,23,29,17,4,11,3,1,22,21,102,86,E2020,ZALGIRIS KAUNAS
ASV,13500,93,24,47,7,23,24,28,13,24,37,17,9,13,2,9,32,25,86,87,E2020,LDLC ASVEL VILLEURBANNE
OLY,13500,101,28,49,5,11,30,38,7,27,34,16,8,13,9,2,25,32,125,87,E2020,OLYMPIACOS PIRAEUS
BAR,12000,76,23,40,4,15,18,23,14,22,36,13,7,16,2,2,19,24,88,88,E2020,FC BARCELONA
RED,12000,65,17,35,6,21,13,18,12,17,29,15,3,14,2,2,24,19,55,88,E2020,CRVENA ZVEZDA MTS BELGRADE
MAD,12000,94,22,33,13,30,11,16,8,20,28,31,8,8,3,0,13,16,126,89,E2020,REAL MADRID
ULK,12000,74,17,32,11,25,7,7,8,21,29,10,5,17,0,3,16,13,66,89,E2020,FENERBAHCE BEKO ISTANBUL
PAM,12000,82,19,34,10,21,14,18,6,23,29,23,7,17,1,1,17,23,100,90,E2020,VALENCIA BASKET
TEL,12000,80,17,33,13,32,7,15,10,22,32,15,11,16,1,1,23,16,72,90,E2020,MACCABI PLAYTIKA TEL AVIV
CSK,12000,74,19,40,9,26,9,10,15,29,44,4,0,10,1,6,15,18,71,91,E2020,CSKA MOSCOW
MAD,12000,73,17,37,10,30,9,12,11,23,34,18,4,6,6,1,18,15,82,91,E2020,REAL MADRID
RED,12000,64,19,40,5,20,11,15,14,23,37,13,5,11,4,4,13,15,70,92,E2020,CRVENA ZVEZDA MTS BELGRADE
IST,12000,75,13,29,15,28,4,5,7,23,30,19,7,8,4,4,15,13,91,92,E2020,ANADOLU EFES ISTANBUL
ZAL,12000,75,21,40,7,18,12,14,12,17,29,16,3,10,0,2,20,17,76,93,E2020,ZALGIRIS KAUNAS
DYR,12000,83,16,32,12,23,15,18,10,17,27,23,6,10,2,0,17,20,104,93,E2020,ZENIT ST PETERSBURG
BER,12000,100,25,45,12,30,14,19,12,27,39,29,14,14,7,6,18,21,129,94,E2020,ALBA BERLIN
KHI,12000,80,16,40,11,31,15,19,19,26,45,22,10,23,6,7,22,18,81,94,E2020,KHIMKI MOSCOW REGION
OLY,12000,76,20,35,7,22,15,18,9,16,25,12,9,14,0,2,21,19,71,95,E2020,OLYMPIACOS PIRAEUS
BAS,12000,90,20,30,13,26,11,18,10,22,32,23,8,19,2,0,19,21,108,95,E2020,TD SYSTEMS BASKONIA VITORIA-GASTEIZ
TEL,13500,85,19,48,11,27,14,18,15,31,46,16,6,12,2,5,20,21,90,96,E2020,MACCABI PLAYTIKA TEL AVIV
MIL,13500,86,21,42,12,29,8,12,8,31,39,14,7,12,5,2,21,20,94,96,E2020,AX ARMANI EXCHANGE MILAN
